OG0012639																						Pech|nbis-mrna-14247, Pech|nbis-mrna-14248, Pech|nbis-mrna-14249, Pech|nbis-mrna-14250, Pech|nbis-mrna-21096, Pech|nbis-mrna-2937, Pech|nbis-mrna-2938, Pech|nbis-mrna-2939, Pech|nbis-mrna-3665, Pech|nbis-mrna-9865, Pech|nbis-mrna-9866	Rpac|RPACG00000020605.1, Rpac|RPACG00000024884.1					
OG0013127																		Oalv|OALVG00000001036.1, Oalv|OALVG00000001037.1, Oalv|OALVG00000001039.1, Oalv|OALVG00000001103.1, Oalv|OALVG00000001104.1, Oalv|OALVG00000004067.1, Oalv|OALVG00000004068.1, Oalv|OALVG00000016598.1, Oalv|OALVG00000033515.1, Oalv|OALVG00000033516.1				Pech|nbis-mrna-4722, Pech|nbis-mrna-7074						
OG0013130																		Oalv|OALVG00000004355.1, Oalv|OALVG00000006129.1, Oalv|OALVG00000008275.1, Oalv|OALVG00000014123.1, Oalv|OALVG00000019660.1, Oalv|OALVG00000020938.1, Oalv|OALVG00000022066.1, Oalv|OALVG00000024900.1, Oalv|OALVG00000028412.1, Oalv|OALVG00000033919.1, Oalv|OALVG00000034251.1				Pech|nbis-mrna-11899						
OG0013133																		Oalv|OALVG00000016285.1				Pech|nbis-mrna-16837, Pech|nbis-mrna-16838, Pech|nbis-mrna-16840, Pech|nbis-mrna-16843, Pech|nbis-mrna-16844, Pech|nbis-mrna-16847, Pech|nbis-mrna-16848, Pech|nbis-mrna-22130, Pech|nbis-mrna-3136, Pech|nbis-mrna-8491	Rpac|RPACG00000003381.1					
OG0013788																		Oalv|OALVG00000011076.1, Oalv|OALVG00000035159.1				Pech|nbis-mrna-14728, Pech|nbis-mrna-14729, Pech|nbis-mrna-21788, Pech|nbis-mrna-21789, Pech|nbis-mrna-21790, Pech|nbis-mrna-21792, Pech|nbis-mrna-21793, Pech|nbis-mrna-5476, Pech|nbis-mrna-8031						
OG0013790																		Oalv|OALVG00000013275.1				Pech|nbis-mrna-11410, Pech|nbis-mrna-11687, Pech|nbis-mrna-15105, Pech|nbis-mrna-1667, Pech|nbis-mrna-20317, Pech|nbis-mrna-34, Pech|nbis-mrna-3996, Pech|nbis-mrna-6310, Pech|nbis-mrna-8386	Rpac|RPACG00000012972.1					
OG0013795																		Oalv|OALVG00000026211.1, Oalv|OALVG00000026212.1, Oalv|OALVG00000026213.1, Oalv|OALVG00000026216.1, Oalv|OALVG00000026217.1, Oalv|OALVG00000026218.1, Oalv|OALVG00000026220.1, Oalv|OALVG00000026221.1, Oalv|OALVG00000026222.1				Pech|nbis-mrna-6985	Rpac|RPACG00000033617.1					
OG0014529																		Oalv|OALVG00000000039.1, Oalv|OALVG00000000041.1, Oalv|OALVG00000000086.1, Oalv|OALVG00000000112.1, Oalv|OALVG00000000116.1, Oalv|OALVG00000000118.1, Oalv|OALVG00000009790.1, Oalv|OALVG00000029263.1, Oalv|OALVG00000035582.1				Pech|nbis-mrna-20011						
OG0014531																		Oalv|OALVG00000002509.1, Oalv|OALVG00000014050.1, Oalv|OALVG00000016283.1, Oalv|OALVG00000017470.1, Oalv|OALVG00000017496.1, Oalv|OALVG00000017497.1, Oalv|OALVG00000023331.1, Oalv|OALVG00000031298.1, Oalv|OALVG00000031301.1				Pech|nbis-mrna-10920						
OG0014534																		Oalv|OALVG00000003585.1, Oalv|OALVG00000003587.1, Oalv|OALVG00000007784.1, Oalv|OALVG00000016292.1, Oalv|OALVG00000035454.1				Pech|nbis-mrna-13695	Rpac|RPACG00000018725.1, Rpac|RPACG00000018727.1, Rpac|RPACG00000018730.1, Rpac|RPACG00000018731.1					
