target_id	crown_1	opistosoma_1	trophosome_1	crown_2	opistosoma_2	trophosome_2
OALVG00000000104.1	0	0	4.74105	0	0	0
OALVG00000000104.2	0	0.017049	0.214353	0	0	0
OALVG00000000105.1	0.74645	0.0790534	13.2821	0.41302	0.41581	0.0988274
OALVG00000000106.1	0.311379	0.294344	92.2252	0.720191	0.759264	0.149696
OALVG00000000107.1	0.357924	0	1.57691	0	0	0
OALVG00000000108.1	0	0.474167	0	0	0	0
OALVG00000000109.1	0.18325	0	0	0	0	0
OALVG00000000110.1	0	0	0	0	0	0.641371
OALVG00000000111.1	0.0378566	0	0	0.930879	0.0463457	0.0585338
OALVG00000000112.1	0.195311	0.0125079	0.373427	0.127349	0.0279204	0.0204244
OALVG00000000113.1	0.174174	0	0.155509	0	0	0
OALVG00000000114.1	0	0	0	0	0	0
OALVG00000000115.1	0	0	0.137504	0.377144	0.138686	0.0895892
OALVG00000000116.1	0.169005	0.0267707	0.698003	0.862615	0.667017	0.277106
OALVG00000000117.1	0	0	0	0	0	0
OALVG00000000118.1	0.315471	0	0.6799	0.819793	0.0150274	0.0288129
OALVG00000000119.1	0.178634	0.380157	0	0.503327	0	0
OALVG00000000120.1	0	0	0	0.552823	0	0.350504
OALVG00000000121.1	0.0660743	0	0	0.390891	0.0905759	0.185729
OALVG00000000122.1	0	0.134274	0	0	0	0
OALVG00000000123.1	0	0.0372459	0.00993298	0	0	0.0155494
OALVG00000000124.1	0	0	0.129681	0	0.0517887	0.0989454
OALVG00000000125.1	0	0	0.469775	0	0	0
OALVG00000000126.1	0	0	0	0	0	0
OALVG00000000127.1	0.05467	0	0	0	0	0
OALVG00000000128.1	0	0.0606724	0	0.315789	0	0
OALVG00000000129.1	0.0510947	0.0271986	0.0218862	0	0	0
OALVG00000000130.1	0	0	0	0.101937	0	0.145583
OALVG00000000131.1	0	0	0.180901	0.286718	0	0
OALVG00000000132.1	0.027723	0.0295069	0	0	0	0
OALVG00000000133.1	0	0	0	0	0	0
OALVG00000000134.1	0.0326965	0.0500757	0	0.133507	0.211249	0.0642845
OALVG00000000135.1	0.932479	0.266969	0.277348	1.6797	0.147659	0.32921
OALVG00000000136.1	0.0711218	0	0.0404577	0.130305	0.0806324	0.030917
OALVG00000000137.1	3.81981	1.27955	1.28193	4.92606	1.71706	0.803985
OALVG00000000138.1	43.6556	25.3056	29.2649	45.1244	9.81012	60.3717
OALVG00000000139.1	0.44788	0.375723	0.610588	1.01014	0.16109	0.428147
OALVG00000000140.1	2.16117	1.94658	8.85649	3.76037	1.96202	4.22602
OALVG00000000141.1	1.2589	0.593634	0.552237	1.70435	0.45874	0.404227
OALVG00000000142.1	10.0258	12.3525	6.91383	41.6267	8.66659	14.0128
OALVG00000000143.1	2.49131	1.24964	7.37032	3.62644	2.58959	2.54028
OALVG00000000144.1	1.15387	0.457027	0.0919891	0.738608	0.550532	0.386286
OALVG00000000145.1	82.9218	7.88899	1.36204	316.425	8.73751	6.56487
OALVG00000000146.1	1.40733	0.422094	13.2405	4.67258	0.44574	1.13573
OALVG00000000147.1	0.383221	0.660332	1.79324	1.34996	0.774776	1.26802
OALVG00000000148.1	0.00862784	0.0138142	0.0146925	0.023694	0	0
OALVG00000000149.1	0.201542	0.203005	1.40417	1.10769	0.411188	0.452589
OALVG00000000150.1	0.00528065	0	4.98622	0.00724976	0	0.335549
OALVG00000000151.1	0.701368	0.12426	0.435635	1.0738	0.321211	0.153398
OALVG00000000152.1	0.0328883	0	0.126447	0.135636	0.0224096	0.0429372
OALVG00000000153.1	1.40298	209.311	11.7794	2.01324	1352.51	17.8763
OALVG00000000154.1	0.388963	0.345711	0.626723	0.801635	1.24895	0.0986079
OALVG00000000155.1	0.0657819	0.00826121	20.629	0	0	0.221615
OALVG00000000156.1	0.0235007	0.0750775	0.080476	0	0.0963197	0.338064
OALVG00000000157.1	0.16401	0	0	0.5267	0	0
OALVG00000000158.1	0.192641	0.871796	0.309277	0	0.296147	3.14953
OALVG00000000159.1	0.502545	0	1.80796	1.52726	0.783561	1.47297
OALVG00000000160.1	0.0102741	0.0109587	0.122678	0.0282312	0.0698473	0.0267872
OALVG00000000161.1	0.759391	0	0.249367	1.84454	0.934198	0.885689
OALVG00000000162.1	3.38653	2.01732	10.9355	5.67977	5.02447	2.255
OALVG00000000163.1	9.14545	1.46117	15.0327	19.5072	5.61016	3.50946
OALVG00000000164.1	2.12751	1.86035	2.47496	3.64445	3.82022	1.76116
OALVG00000000165.1	1.74024	0.49725	1.41711	2.94404	1.02797	0.8436
OALVG00000000166.1	213.494	143.896	843.324	445.151	144.614	124.092
OALVG00000000167.1	0.735158	2.75508	1.41341	1.15724	3.50606	4.45289
OALVG00000000168.1	0.134693	0	0.238481	0	0.192373	0.181064
OALVG00000000169.1	0	0.0376791	0.0304399	0	0.729249	0
OALVG00000000170.1	0	0	0	0	0	0
OALVG00000000171.1	19.935	0	0.472344	18.1026	0.387339	2.50954
OALVG00000000172.1	0.262302	0.284307	0	0	0	0.717011
OALVG00000000173.1	0.841352	0.673381	0.162907	1.17301	1.06444	0.489783
OALVG00000000174.1	4.83512	3.66627	2.08375	7.71256	13.9839	2.97871
OALVG00000000175.1	0.392899	0.582703	1.91678	2.3936	0.548268	0.208427
OALVG00000000176.1	0.0124321	0	0.074268	0	0	0.0486453
OALVG00000000177.1	0.0674001	0.00653887	20.378	0.201958	0.0166368	0.0159595
OALVG00000000178.1	0.168173	0.0316565	0.0168727	0.462088	0.147936	0
OALVG00000000179.1	1.8784	0.24577	2.19463	2.62535	3.33343	1.68138
OALVG00000000180.1	0.0147103	0	0.186866	0	0	0
OALVG00000000181.1	1.42801	1.28562	2.73513	3.81697	3.29357	2.18135
OALVG00000000182.1	6.80541	19.3903	3.4187	12.5832	49.4896	7.6926
OALVG00000000183.1	0.101746	0.108324	0.0435811	0.210011	0.695521	0.299491
OALVG00000000184.1	0.985502	1.04674	0.249164	1.18059	4.42927	0.189206
OALVG00000000185.1	1.3385	1.01117	3.69209	3.43302	2.01774	1.22169
OALVG00000000186.1	52.223	76.8461	100.626	79.6099	114.656	73.3585
OALVG00000000187.1	6.25341	8.81961	13.2531	10.2701	7.34691	8.71966
OALVG00000000188.1	1.61055	1.86025	30.174	1.12236	1.29601	1.30196
OALVG00000000189.1	0.358257	0.534085	7.62757	0.394283	1.86017	0.562267
