target_id	body	roots	
OFRAG00000000306.1	6.03524	3.03686
OFRAG00000000307.1	7.62328	7.06653
OFRAG00000000308.1	1.97596	0.101581
OFRAG00000000309.1	21.7326	24.7436
OFRAG00000000310.1	11.7213	2.73841
OFRAG00000000311.1	0.0126217	0.00726559
OFRAG00000000312.1	0.0932842	0
OFRAG00000000313.1	7.97774	4.8536
OFRAG00000000313.2	7.49747	2.1616
OFRAG00000000314.1	0.0091728	0
OFRAG00000000315.1	2.77839	0.00951014
OFRAG00000000316.1	34.659	7.59655
OFRAG00000000317.1	12.313	4.47768
OFRAG00000000318.1	73.7167	50.3777
OFRAG00000000319.1	8.974	0.181023
OFRAG00000000319.2	10.5698	0.0159201
OFRAG00000000320.1	14.7694	0
OFRAG00000000321.1	0.220561	0.147135
OFRAG00000000322.1	0	0
OFRAG00000000323.1	0.0273725	0.0371331
OFRAG00000000324.1	0	0.00412468
OFRAG00000000325.1	17.7363	6.47759
OFRAG00000000326.1	0.198688	1.02034
OFRAG00000000327.1	0.615685	6.51072
OFRAG00000000328.1	4.90234	1.58756
OFRAG00000000329.1	37.9236	15.368
OFRAG00000000330.1	5.56815	1.1664
OFRAG00000000331.1	0.931165	8.69167
OFRAG00000000332.1	0.11997	0.174541
OFRAG00000000333.1	0.131838	1.02295
OFRAG00000000334.1	0.78811	0.33973
OFRAG00000000335.1	1.1956	1.29184
OFRAG00000000336.1	29.4523	49.8217
OFRAG00000000337.1	20.2648	10.1201
OFRAG00000000338.1	48.7942	23.7923
OFRAG00000000339.1	8.46131	3.80083
OFRAG00000000340.1	24.7622	15.6627
OFRAG00000000341.1	7.24949	5.92883
OFRAG00000000342.1	0	0.023698
OFRAG00000000343.1	6.37579	11.2477
OFRAG00000000344.1	38.2466	7.38865
OFRAG00000000345.1	8.90443	0.397207
OFRAG00000000346.1	20.8028	6.13711
OFRAG00000000347.1	0.663418	0.342058
OFRAG00000000348.1	0.0391875	0
OFRAG00000000349.1	24.5504	8.6833
OFRAG00000000349.2	5.31831	1.57649
OFRAG00000000349.3	12.5503	15.8047
OFRAG00000000350.1	183.015	0.754215
OFRAG00000000351.1	0.0365437	0
OFRAG00000000352.1	12.9009	47.7818
OFRAG00000000353.1	16.5339	5.65137
OFRAG00000000354.1	0.783789	0.156406
OFRAG00000000355.1	155.642	44.7361
OFRAG00000000356.1	155.518	181.599
OFRAG00000000357.1	13.0071	6.64151
OFRAG00000000358.1	2.9971	2.83567
OFRAG00000000359.1	7.0008	4.8257
OFRAG00000000360.1	40.2333	17.3236
OFRAG00000000361.1	23.6067	24.7973
OFRAG00000000362.1	13.1308	10.9784
OFRAG00000000363.1	104.216	26.4936
OFRAG00000000364.1	1.52582	0
OFRAG00000000365.1	41.8547	0.021154
OFRAG00000000366.1	6.81377	0.385611
OFRAG00000000367.1	0.407798	0.560528
OFRAG00000000368.1	7.13006	0
OFRAG00000000368.2	1.7148	0.00872138
OFRAG00000000369.1	0.533761	0.043118
OFRAG00000000370.1	0.313568	5.89445
OFRAG00000000371.1	1.97898	0
OFRAG00000000372.1	22.5679	11.4206
OFRAG00000000373.1	0.422402	0.229001
OFRAG00000000374.1	50.1209	27.8211
OFRAG00000000375.1	2.85927	8.06377
OFRAG00000000376.1	0	0.617121
OFRAG00000000377.1	0.447266	0.238409
OFRAG00000000378.1	113.411	5.83871
OFRAG00000000379.1	37.3565	10.1637
OFRAG00000000380.1	0.404773	0.631659
OFRAG00000000381.1	9.42311	11.2729
OFRAG00000000382.1	15.1132	6.62027
OFRAG00000000383.1	23.3913	20.4209
OFRAG00000000384.1	15.0399	12.5267
OFRAG00000000384.2	11.2129	5.09282
OFRAG00000000385.1	8.78053	6.63223
OFRAG00000000386.1	11.7354	20.5711
OFRAG00000000387.1	17.6972	18.9009
OFRAG00000000387.2	1.91441	0.691433
OFRAG00000000388.1	158.523	323.092
OFRAG00000000389.1	51.4532	273.195
OFRAG00000000390.1	24.4106	9.65374
OFRAG00000000391.1	21.6677	7.60971
OFRAG00000000392.1	10.7456	7.81558
OFRAG00000000393.1	27.4158	2.98568
OFRAG00000000394.1	0.104735	0.00668809
OFRAG00000000395.1	7.49005	23.3373
OFRAG00000000396.1	6.71251	113.243
OFRAG00000000397.1	3.61135	46.8655
OFRAG00000000398.1	32.566	15.0916
OFRAG00000000399.1	20.4145	4.1179
OFRAG00000000400.1	246.291	117.61
OFRAG00000000401.1	4.46364	5.06735
OFRAG00000000402.1	1.74853	0.229128
OFRAG00000000403.1	18.8702	0.0216159
OFRAG00000000404.1	0.462069	0
OFRAG00000000405.1	24.0333	9.2091
OFRAG00000000405.2	16.2938	10.2735
OFRAG00000000406.1	0	0.471961
OFRAG00000000407.1	0.0228978	0.0858857
OFRAG00000000408.1	76.103	55.5184
OFRAG00000000409.1	0	0
OFRAG00000000410.1	0.0156133	0.10872
OFRAG00000000411.1	0	0
OFRAG00000000412.1	0	0
OFRAG00000000413.1	0	0
OFRAG00000000414.1	0.0768978	0
OFRAG00000000415.1	31.7483	1.75778
OFRAG00000000416.1	68.0046	0
OFRAG00000000417.1	30.3434	0
OFRAG00000000418.1	3.03268	0.371607
OFRAG00000000419.1	1.6758	0.447679
OFRAG00000000420.1	10.1709	9.81789
OFRAG00000000421.1	5.72915	0.0290149
OFRAG00000000422.1	17.3589	2.47598
OFRAG00000000423.1	5.14647	0
OFRAG00000000424.1	294.781	0.613028
OFRAG00000000425.1	10.9342	0.521809
OFRAG00000000426.1	98.9324	4.29082
OFRAG00000000427.1	45.9148	16.8048
OFRAG00000000428.1	0.176158	0.0139431
OFRAG00000000429.1	5.10525	0.2646
OFRAG00000000430.1	0.773599	1.85252
OFRAG00000000431.1	0	0.099719
OFRAG00000000432.1	8.88422	4.47285
OFRAG00000000433.1	16.4367	4.78406
OFRAG00000000434.1	14.2872	7.34668
OFRAG00000000435.1	24.0507	25.1074
OFRAG00000000436.1	51.0773	30.5761
OFRAG00000000437.1	3.73141	0.0300989
OFRAG00000000438.1	5.96431	0.813972
OFRAG00000000439.1	16.4176	9.65753
OFRAG00000000440.1	407.412	37.314
OFRAG00000000441.1	28.4858	9.52919
OFRAG00000000442.1	4.21347	1.17113
OFRAG00000000443.1	0.0688054	0.0401282
OFRAG00000000444.1	0.00982868	0.110771
OFRAG00000000445.1	0	0
OFRAG00000000446.1	0	0.103464
OFRAG00000000447.1	33.8054	1.65323
OFRAG00000000448.1	22.5756	5.17523
OFRAG00000000449.1	79.0812	35.7409
OFRAG00000000450.1	10.6085	5.27279
OFRAG00000000451.1	4.04321	3.43582
OFRAG00000000451.2	1.22359	2.19632
OFRAG00000000452.1	0.0224945	0.0292816
OFRAG00000000453.1	0	0.145452
OFRAG00000000454.1	7.26183	7.47287
OFRAG00000000455.1	18.6774	60.9124
OFRAG00000000456.1	119.324	1.73795
OFRAG00000000457.1	4.75473	7.16741
OFRAG00000000458.1	3.15609	2.23993
OFRAG00000000459.1	6.09956	1.72297
OFRAG00000000459.2	8.21396	3.16381
OFRAG00000000460.1	0.0210055	2.97256
OFRAG00000000461.1	16.5438	22.917
OFRAG00000000462.1	11.0979	13.0218
OFRAG00000000462.2	6.24337	5.22314
OFRAG00000000463.1	5.18598	4.98545
OFRAG00000000464.1	21.3277	7.32278
OFRAG00000000465.1	64.913	44.5972
OFRAG00000000466.1	0	0
OFRAG00000000467.1	6.4946	1.27266
OFRAG00000000468.1	36.3866	12.7815
OFRAG00000000469.1	15.2751	6.60299
OFRAG00000000470.1	0.0532057	0
OFRAG00000000471.1	7.22995	0.675346
OFRAG00000000472.1	98.7185	18.7197
OFRAG00000000473.1	10.4919	0.262255
OFRAG00000000474.1	0.0689504	422.138
OFRAG00000000475.1	0.0463496	297.682
OFRAG00000000476.1	0.000332534	0.0356129
OFRAG00000000477.1	0.00115556	0.00696363
OFRAG00000000478.1	18.4743	10.0976
OFRAG00000000479.1	2.25181	0.372152
OFRAG00000000480.1	4.10882	4.37718
OFRAG00000000481.1	77.8379	17.0916
OFRAG00000000482.1	4.14632	6.2405
OFRAG00000000483.1	2.37636	1.60706
OFRAG00000000484.1	22.5982	51.3656
OFRAG00000000485.1	0	0
OFRAG00000000486.1	0.224171	9.43483
OFRAG00000000487.1	0	0
OFRAG00000000488.1	0	0
OFRAG00000000489.1	3.35043	0.734508
OFRAG00000000490.1	31.1884	9.6595
OFRAG00000000491.1	6.15726	0
OFRAG00000000492.1	0.0765214	0.0255028
OFRAG00000000493.1	2.15471	1.18553
OFRAG00000000493.2	0.042173	0.121982
OFRAG00000000494.1	21.5754	6.33831
OFRAG00000000495.1	8.17863	2.10396
OFRAG00000000496.1	0.0150937	0.00975852
OFRAG00000000497.1	581.922	1204.21
OFRAG00000000498.1	18.6135	14.7569
OFRAG00000000499.1	1.44159	218.599
OFRAG00000000500.1	0	0.231324
OFRAG00000000501.1	0.52247	460.654
OFRAG00000000502.1	0	0.31564
OFRAG00000000503.1	0	1.20316
OFRAG00000000504.1	0.419209	733.072
OFRAG00000000505.1	11.1216	1.28972
OFRAG00000000506.1	16.7674	11.7685
OFRAG00000000507.1	0.00265085	0
OFRAG00000000508.1	0	0
OFRAG00000000509.1	0.69624	0
OFRAG00000000510.1	2.10485	1.55649
OFRAG00000000511.1	3.82572	0.00556201
OFRAG00000000512.1	16.8985	4.82443
OFRAG00000000513.1	33.6117	10.904
OFRAG00000000514.1	54.9574	6.18105
OFRAG00000000514.2	1.26602	0.0724954
OFRAG00000000515.1	1.62859	600.18
OFRAG00000000516.1	0.0273316	0.0315767
OFRAG00000000517.1	120.064	41.3962
OFRAG00000000518.1	6.84375	0.159046
OFRAG00000000519.1	0.181065	0.0537985
OFRAG00000000520.1	273.055	0.962261
OFRAG00000000521.1	0.0725814	8.03557
OFRAG00000000522.1	0	0
OFRAG00000000523.1	25.453	12.8978
OFRAG00000000524.1	0	0
OFRAG00000000525.1	0.0171136	0.00737762
OFRAG00000000526.1	1.91946	0.390337
OFRAG00000000527.1	18.7269	10.8046
OFRAG00000000528.1	11.7698	6.52103
OFRAG00000000529.1	37.6412	11.9607
OFRAG00000000530.1	79.7836	1.37146
OFRAG00000000531.1	71.514	18.1996
OFRAG00000000532.1	4.23899	0.0561314
OFRAG00000000533.1	0	0
OFRAG00000000534.1	3.16738	4.24437
OFRAG00000000535.1	0.945646	2.41629
OFRAG00000000536.1	0	0
OFRAG00000000537.1	2.59035	65.254
OFRAG00000000538.1	9.16706	4.66823
OFRAG00000000539.1	44.2154	12.8617
OFRAG00000000540.1	0.0456799	0
OFRAG00000000541.1	0.118268	0.0422386
OFRAG00000000542.1	0	0
OFRAG00000000543.1	2.30195	1.042
OFRAG00000000544.1	0.197745	0.0392945
OFRAG00000000545.1	0.0460112	0
OFRAG00000000546.1	0.857596	0.317271
OFRAG00000000547.1	0.0571474	0.00853676
OFRAG00000000548.1	17.9641	4.94433
OFRAG00000000549.1	0	0
OFRAG00000000550.1	0	0.485603
OFRAG00000000551.1	10.2913	0.252574
OFRAG00000000552.1	17.9582	1.15077
OFRAG00000000553.1	0.797473	0.901029
OFRAG00000000554.1	0	0.156865
OFRAG00000000555.1	1702.62	850.376
OFRAG00000000556.1	22.6957	34.7749
OFRAG00000000557.1	17.3899	6.89912
OFRAG00000000558.1	0	0
OFRAG00000000559.1	22.7785	0.410029
OFRAG00000000560.1	0.156177	0.0498017
OFRAG00000000561.1	7.45421	6.42581
OFRAG00000000562.1	33.3608	18.6
OFRAG00000000563.1	5.51213	2.55006
OFRAG00000000564.1	0.035819	0.0103224
OFRAG00000000565.1	36.3522	6.1998
OFRAG00000000566.1	64.3406	3.11595
OFRAG00000000567.1	45.7892	12.6363
OFRAG00000000568.1	14.0835	0.351304
OFRAG00000000569.1	35.5493	6.43012
OFRAG00000000570.1	119.193	72.9914
OFRAG00000000571.1	0.327399	0
OFRAG00000000572.1	0.106531	0
OFRAG00000000573.1	18.1796	0.435104
OFRAG00000000574.1	113.35	60.9709
OFRAG00000000575.1	0	0.222741
OFRAG00000000576.1	0.473169	9.21222
OFRAG00000000577.1	2.60787	1.91683
OFRAG00000000578.1	24.6236	11.2934
OFRAG00000000579.1	11.5334	1.25729
OFRAG00000000580.1	0.0105345	0
OFRAG00000000581.1	0.192551	0.0340673
OFRAG00000000582.1	152.366	23.533
OFRAG00000000583.1	0.0113941	0
OFRAG00000000584.1	0.0142846	0.0329043
OFRAG00000000585.1	0.0416108	0.00902216
OFRAG00000000586.1	2.26478	1.14026
OFRAG00000000587.1	0	0
OFRAG00000000588.1	4.93528	2.99495
OFRAG00000000589.1	0	0.0167741
OFRAG00000000590.1	1.95115	1.63553
OFRAG00000000591.1	12.6849	8.33624
OFRAG00000000592.1	25.2511	22.6775
OFRAG00000000593.1	30.4124	14.7196
OFRAG00000000593.2	6.9945	1.78476
OFRAG00000000594.1	0.0678047	0.244872
OFRAG00000000595.1	37.7021	28.2713
OFRAG00000000596.1	66.0082	158.665
OFRAG00000000597.1	0	0.0933554
OFRAG00000000598.1	2.29889	268.474
OFRAG00000000599.1	0.114563	1.33645
OFRAG00000000600.1	0.0884853	1.79872
OFRAG00000000601.1	0.0204877	5.72493
OFRAG00000000602.1	0	0
OFRAG00000000603.1	0.567318	43.1216
OFRAG00000000604.1	8.00601	62.5576
OFRAG00000000605.1	25.8766	8.45
OFRAG00000000606.1	0.265608	0.267259
OFRAG00000000607.1	2.16519	0.00702775
OFRAG00000000608.1	1.4156	0.464082
OFRAG00000000609.1	97.6111	57.2979
OFRAG00000000610.1	1800.69	4.69134
OFRAG00000000611.1	0.32453	0.0515194
OFRAG00000000612.1	524.042	116.291
OFRAG00000000613.1	1.36094	0.00963479
OFRAG00000000614.1	0	0.115841
OFRAG00000000615.1	14.2426	3.82863
OFRAG00000000616.1	190.984	12561.2
OFRAG00000000617.1	207.071	10227.9
OFRAG00000000618.1	11.3495	15.0449
OFRAG00000000618.2	8.94799	1.28071
OFRAG00000000619.1	0.0543657	0
OFRAG00000000620.1	0	0
OFRAG00000000621.1	0.061437	0.00664751
OFRAG00000000622.1	1.67899	0.664356
OFRAG00000000623.1	0.015122	0.0914553
OFRAG00000000624.1	12.861	22.2064
OFRAG00000000625.1	11.9181	15.4722
OFRAG00000000626.1	5.09633	2.14945
OFRAG00000000627.1	26.5183	28.8455
OFRAG00000000628.1	19.8589	9.36383
OFRAG00000000629.1	167.943	49.7772
OFRAG00000000630.1	0.366956	0.219864
OFRAG00000000631.1	40.8973	17.7672
OFRAG00000000632.1	34.1226	6.82273
OFRAG00000000633.1	18.6394	1.94876
OFRAG00000000634.1	20.8114	2.82211
OFRAG00000000635.1	1244.98	823.177
OFRAG00000000636.1	11.2617	5.55005
OFRAG00000000637.1	22.8585	6.13394
